keyword,certificate,parent_topic,search_intent,funnel_stage,demand_signal,demand_evidence,seasonality,business_relevance,conversion_potential,ranking_opportunity,current_questdp_page,current_coverage,cannibalization_risk,recommended_action,priority_score,target_platforms,notes
컴활,COMHWAL,컴활 pillar,"Informational|Navigational",TOFU,VERY HIGH,"Naver autocomplete rich; dense SERP",ALL_YEAR,VERY_HIGH,HIGH,MEDIUM,https://quest-dp.com/curriculum/comhwal/,PARTIAL,MEDIUM,UPDATE,83,"QuestDP|Naver","Always-on exam"
컴활 1급,COMHWAL,컴활 grade,Informational,TOFU,VERY HIGH,"Naver autocomplete and dense official/academy results",ALL_YEAR,VERY_HIGH,HIGH,MEDIUM,https://quest-dp.com/curriculum/comhwal-1/,PARTIAL,MEDIUM,UPDATE,82,"QuestDP|Naver","Use grade-specific curriculum"
컴활 2급,COMHWAL,컴활 grade,Informational,TOFU,VERY HIGH,"Naver autocomplete and dense SERP",ALL_YEAR,VERY_HIGH,HIGH,MEDIUM,https://quest-dp.com/curriculum/comhwal-2/,PARTIAL,MEDIUM,UPDATE,82,"QuestDP|Naver","Use grade-specific curriculum"
컴활 1급 2급 차이,COMHWAL,컴활 comparison,Comparison,MOFU,HIGH,"Naver autocomplete exact related query",ALL_YEAR,VERY_HIGH,HIGH,HIGH,https://quest-dp.com/blog/comhwal-1급-vs-2급/,STRONG,LOW,UPDATE_EXISTING,90,"QuestDP|Naver|Instagram","Add official comparison and decision checklist"
컴활 필기,COMHWAL,컴활 exam,Informational,TOFU,VERY HIGH,"Naver autocomplete 접수/준비물/시간/기출",ALL_YEAR,VERY_HIGH,HIGH,MEDIUM,https://quest-dp.com/curriculum/comhwal/,PARTIAL,HIGH,UPDATE_HUB,86,"QuestDP|Naver","Do not split every FAQ into page"
컴활 필기 공부법,COMHWAL,컴활 study,Study,MOFU,HIGH,"Naver SERP blog/cafe heavy; QuestDP absent",ALL_YEAR,VERY_HIGH,HIGH,HIGH,https://quest-dp.com/blog/comhwal-필기-비전공자-공부법/,PARTIAL,HIGH,UPDATE_EXISTING_PILLAR,92,"QuestDP|Naver|Threads|Instagram","Broaden existing URL; avoid new general duplicate"
컴활 공부법,COMHWAL,컴활 study,Study,MOFU,HIGH,"Google/Naver autocomplete 1급/2급/필기/실기",ALL_YEAR,VERY_HIGH,HIGH,HIGH,https://quest-dp.com/blog/comhwal-필기-비전공자-공부법/,PARTIAL,HIGH,UPDATE_EXISTING,87,"QuestDP|Naver|Instagram","Scope clearly limited to 필기"
컴활 필기 7일,COMHWAL,컴활 urgent,Urgent_Last-minute,BOFU,HIGH,"Existing exact long-tail; autocomplete 공부법 variants",ALWAYS_ON_D7,VERY_HIGH,HIGH,HIGH,https://quest-dp.com/blog/comhwal-7일-필기-플랜/,STRONG,LOW,UPDATE,84,"QuestDP|Naver|Threads|Instagram","State first-pass plan not guarantee"
컴활 필기 기출,COMHWAL,컴활 practice,Study,MOFU,HIGH,"Naver/Google autocomplete 기출/CBT",ALWAYS_ON_D14_D1,VERY_HIGH,VERY_HIGH,HIGH,https://quest-dp.com/blog/comhwal-기출-복습법/,STRONG,LOW,UPDATE,86,"QuestDP|Naver","Use legal source guidance"
컴활 필기 CBT,COMHWAL,컴활 practice,Transactional,BOFU,HIGH,"Google autocomplete exact variant",ALL_YEAR,VERY_HIGH,VERY_HIGH,MEDIUM,https://quest-dp.com/curriculum/comhwal/,PARTIAL,MEDIUM,PRODUCT_LANDING_COPY,78,"QuestDP|Naver","Only claim CBT-like UX if accurate"
컴활 필기 준비물,COMHWAL,컴활 exam,Exam_Information,BOFU,HIGH,"Naver autocomplete exact",ALWAYS_ON_D1,MEDIUM,LOW,HIGH,https://quest-dp.com/faq/comhwal/,COVERED,LOW,UPDATE,72,"QuestDP|Naver|Threads","Official KCCI citation"
컴활 필기 시험시간,COMHWAL,컴활 exam,Exam_Information,BOFU,HIGH,"Naver autocomplete",ALWAYS_ON_D1,MEDIUM,LOW,HIGH,https://quest-dp.com/faq/comhwal/,COVERED,LOW,UPDATE,71,"QuestDP|Naver","Grade-specific facts"
컴활 시험일정,COMHWAL,컴활 exam,Exam_Information,BOFU,VERY HIGH,"Naver autocomplete; official continuous test",ALL_YEAR,MEDIUM,LOW,MEDIUM,https://quest-dp.com/exams/comhwal/,TODO_NOINDEX,LOW,HOLD_UNTIL_MODEL_CLEAR,65,"QuestDP|Naver","No national D-day; availability varies by center"
컴활 실기 공부법,COMHWAL,컴활 실기,Study,MOFU,HIGH,"Naver/Google autocomplete",ALL_YEAR,LOW,LOW,LOW,https://quest-dp.com/blog/comhwal-필기에서-실기-전환법/,PARTIAL,MEDIUM,HOLD,49,"Naver","Product is primarily 필기; avoid misleading scope"
자격증 공부 앱,PRODUCT,product discovery,Commercial_Investigation,MOFU,MEDIUM,"Google autocomplete returned exact product seed",ALL_YEAR,VERY_HIGH,VERY_HIGH,HIGH,https://quest-dp.com/,PARTIAL,LOW,UPDATE_HOME_AND_PROFILES,80,"QuestDP|Naver|LinkedIn|Disquiet","Brand category phrase must stay consistent"
자격증 공부 사이트,PRODUCT,product discovery,Commercial_Investigation,MOFU,MEDIUM,"Seed query; competitive category",ALL_YEAR,VERY_HIGH,VERY_HIGH,MEDIUM,https://quest-dp.com/,PARTIAL,LOW,UPDATE_HOME,76,"QuestDP|Naver","Avoid doorway comparison page"
자격증 문제풀이,PRODUCT,product discovery,Transactional,BOFU,MEDIUM,"Seed query; direct product intent",ALL_YEAR,VERY_HIGH,VERY_HIGH,HIGH,https://quest-dp.com/,PARTIAL,LOW,UPDATE_HOME,79,"QuestDP|Naver|Instagram","Show actual learning loop"
SQLD 문제풀이 사이트,SQLD,product discovery,Transactional,BOFU,MEDIUM,"Product-intent seed plus autocomplete 기출 사이트",D30_D1,VERY_HIGH,VERY_HIGH,HIGH,https://quest-dp.com/curriculum/sqld/,PARTIAL,MEDIUM,UPDATE_CURRICULUM_CTA,80,"QuestDP|Naver","Do not create thin product doorway"
ADsP 문제풀이 사이트,ADSP,product discovery,Transactional,BOFU,MEDIUM,"Product-intent seed plus autocomplete 기출 사이트",D30_D1,VERY_HIGH,VERY_HIGH,HIGH,https://quest-dp.com/curriculum/adsp/,PARTIAL,MEDIUM,UPDATE_CURRICULUM_CTA,80,"QuestDP|Naver","Do not create thin product doorway"
QuestDP,BRAND,brand,Navigational,BOFU,MEDIUM,"Naver official site/app visible; Google name collision",ALL_YEAR,VERY_HIGH,VERY_HIGH,HIGH,https://quest-dp.com/,STRONG,LOW,ENTITY_CONSISTENCY,82,"QuestDP|Naver|LinkedIn|Disquiet","Differentiate from Quest Data Protection"
퀘스트디피,BRAND,brand,Navigational,BOFU,LOW,"Naver app appears before official site",ALL_YEAR,VERY_HIGH,VERY_HIGH,HIGH,https://quest-dp.com/,PARTIAL,LOW,ENTITY_CONSISTENCY,73,"QuestDP|Naver|Instagram|Threads","Use Korean name in profiles and About"
